a,b,weight
T01485,T02545,12
T01485,T03770,20
T01485,T03970,18
T01485,T04021,11
T01485,T04481,14
T01485,T04721,13
T01485,T05201,12
T01485,T05738,13
T01485,T05843,9
T01485,T06085,12
T01485,T06252,18
T01485,T06554,12
T01485,T06794,9
T01485,T07267,11
T01485,T07354,12
T01485,T08201,20
T01485,T08780,8
T02545,T04021,28
T02545,T08201,28
T02545,T08780,29
T03770,T04021,41
T03770,T08201,40
T03770,T08780,33
T03970,T04021,27
T03970,T08201,26
T03970,T08780,24
T04021,T04481,45
T04021,T04721,42
T04021,T05201,26
T04021,T05738,43
T04021,T05843,27
T04021,T06085,42
T04021,T06252,27
T04021,T06554,43
T04021,T06794,28
T04021,T07267,25
T04021,T07354,23
T04021,T08201,31
T04021,T08780,35
T04481,T08201,43
T04481,T08780,40
T04721,T08201,42
T04721,T08780,39
T05201,T08201,26
T05201,T08780,26
T05738,T08201,42
T05738,T08780,39
T05843,T08201,24
T05843,T08780,23
T06085,T08201,37
T06085,T08780,39
T06252,T08201,26
T06252,T08780,23
T06554,T08201,41
T06554,T08780,38
T06794,T08201,25
T06794,T08780,27
T07267,T08201,24
T07267,T08780,24
T07354,T08201,24
T07354,T08780,24
T08201,T08780,28
T00122,T00577,23
T00122,T00925,20
T00122,T00964,27
T00122,T00984,29
T00122,T01461,34
T00122,T01485,34
T00122,T01842,20
T00122,T01954,9
T00122,T02133,38
T00122,T02505,23
T00122,T03496,22
T00122,T03770,32
T00122,T03970,29
T00122,T04021,19
T00122,T04115,10
T00122,T04182,29
T00122,T04222,21
T00122,T04453,25
T00122,T05095,34
T00122,T05143,26
T00122,T06252,29
T00122,T06523,45
T00122,T06584,29
T00122,T06719,37
T00122,T07941,49
T00122,T07943,31
T00122,T08069,36
T00122,T08666,36
T00577,T00964,13
T00577,T01461,23
T00577,T01842,15
T00577,T01954,12
T00577,T02133,23
T00577,T02505,16
T00577,T03496,15
T00577,T04115,13
T00577,T04182,16
T00577,T04222,15
T00577,T04453,25
T00577,T05095,13
T00577,T05143,21
T00577,T06523,21
T00577,T06584,20
T00577,T06719,15
T00577,T07941,21
T00577,T07943,13
T00577,T08069,15
T00577,T08666,14
T00925,T00964,13
T00925,T01461,21
T00925,T01842,19
T00925,T01954,14
T00925,T02133,22
T00925,T02505,20
T00925,T03496,19
T00925,T04115,16
T00925,T04182,16
T00925,T04222,20
T00925,T04453,29
T00925,T05095,5
T00925,T05143,22
T00925,T06523,19
T00925,T06584,19
T00925,T06719,9
T00925,T07941,18
T00925,T07943,5
T00925,T08069,8
T00925,T08666,6
T00964,T00984,29
T00964,T01461,31
T00964,T01485,21
T00964,T01842,15
T00964,T01954,14
T00964,T02133,21
T00964,T02505,17
T00964,T03496,16
T00964,T03770,22
T00964,T03970,19
T00964,T04021,10
T00964,T04115,16
T00964,T04182,30
T00964,T04222,15
T00964,T04453,25
T00964,T05095,30
T00964,T05143,25
T00964,T06252,19
T00964,T06523,27
T00964,T06584,26
T00964,T06719,30
T00964,T07941,28
T00964,T07943,28
T00964,T08069,30
T00964,T08666,30
T00984,T01461,28
T00984,T01842,18
T00984,T01954,13
T00984,T02133,23
T00984,T02505,20
T00984,T03496,19
T00984,T04115,15
T00984,T04182,27
T00984,T04222,18
T00984,T04453,29
T00984,T05095,27
T00984,T05143,36
T00984,T06523,27
T00984,T06584,29
T00984,T06719,28
T00984,T07941,30
T00984,T07943,24
T00984,T08069,29
T00984,T08666,28
T01461,T01485,25
T01461,T01842,21
T01461,T01954,14
T01461,T02133,30
T01461,T02505,24
T01461,T03496,23
T01461,T03770,32
T01461,T03970,23
T01461,T04021,19
T01461,T04115,16
T01461,T04182,31
T01461,T04222,22
T01461,T04453,29
T01461,T05095,33
T01461,T05143,27
T01461,T06252,23
T01461,T06523,35
T01461,T06584,29
T01461,T06719,35
T01461,T07941,35
T01461,T07943,35
T01461,T08069,36
T01461,T08666,35
T01485,T01842,13
T01485,T01954,7
T01485,T02133,28
T01485,T02505,14
T01485,T03496,13
T01485,T04115,7
T01485,T04182,24
T01485,T04222,12
T01485,T04453,16
T01485,T05095,25
T01485,T05143,16
T01485,T06523,35
T01485,T06584,20
T01485,T06719,27
T01485,T07941,34
T01485,T07943,22
T01485,T08069,26
T01485,T08666,26
T01842,T01954,9
T01842,T02133,17
T01842,T02505,35
T01842,T03496,34
T01842,T03770,24
T01842,T03970,13
T01842,T04021,13
T01842,T04115,11
T01842,T04182,17
T01842,T04222,34
T01842,T04453,14
T01842,T05095,16
T01842,T05143,22
T01842,T06252,13
T01842,T06523,17
T01842,T06584,18
T01842,T06719,17
T01842,T07941,18
T01842,T07943,18
T01842,T08069,17
T01842,T08666,17
T01954,T02133,8
T01954,T02505,12
T01954,T03496,10
T01954,T03770,13
T01954,T03970,17
T01954,T04021,10
T01954,T04115,24
T01954,T04182,14
T01954,T04222,12
T01954,T04453,10
T01954,T05095,8
T01954,T05143,15
T01954,T06252,18
T01954,T06523,8
T01954,T06584,12
T01954,T06719,9
T01954,T07941,9
T01954,T07943,10
T01954,T08069,9
T01954,T08666,9
T02133,T02505,18
T02133,T03496,17
T02133,T03770,28
T02133,T03970,26
T02133,T04021,20
T02133,T04115,9
T02133,T04182,25
T02133,T04222,16
T02133,T04453,25
T02133,T05095,26
T02133,T05143,20
T02133,T06252,26
T02133,T06523,37
T02133,T06584,27
T02133,T06719,28
T02133,T07941,37
T02133,T07943,25
T02133,T08069,28
T02133,T08666,27
T02505,T03496,36
T02505,T03770,26
T02505,T03970,15
T02505,T04021,13
T02505,T04115,14
T02505,T04182,20
T02505,T04222,38
T02505,T04453,16
T02505,T05095,18
T02505,T05143,24
T02505,T06252,16
T02505,T06523,19
T02505,T06584,21
T02505,T06719,20
T02505,T07941,21
T02505,T07943,21
T02505,T08069,20
T02505,T08666,20
T03496,T03770,25
T03496,T03970,14
T03496,T04021,12
T03496,T04115,12
T03496,T04182,18
T03496,T04222,36
T03496,T04453,15
T03496,T05095,17
T03496,T05143,23
T03496,T06252,14
T03496,T06523,18
T03496,T06584,20
T03496,T06719,19
T03496,T07941,20
T03496,T07943,20
T03496,T08069,19
T03496,T08666,19
T03770,T04115,13
T03770,T04182,25
T03770,T04222,25
T03770,T04453,34
T03770,T05095,18
T03770,T05143,27
T03770,T06523,32
T03770,T06584,28
T03770,T06719,22
T03770,T07941,30
T03770,T07943,18
T03770,T08069,21
T03770,T08666,19
T03970,T04115,18
T03970,T04182,24
T03970,T04222,14
T03970,T04453,23
T03970,T05095,18
T03970,T05143,21
T03970,T06523,23
T03970,T06584,27
T03970,T06719,20
T03970,T07941,27
T03970,T07943,17
T03970,T08069,20
T03970,T08666,18
T04021,T04115,11
T04021,T04182,12
T04021,T04222,12
T04021,T04453,22
T04021,T05095,9
T04021,T05143,19
T04021,T06523,19
T04021,T06584,18
T04021,T06719,11
T04021,T07941,17
T04021,T07943,9
T04021,T08069,11
T04021,T08666,10
T04115,T04182,16
T04115,T04222,14
T04115,T04453,12
T04115,T05095,10
T04115,T05143,17
T04115,T06252,19
T04115,T06523,9
T04115,T06584,12
T04115,T06719,11
T04115,T07941,10
T04115,T07943,12
T04115,T08069,11
T04115,T08666,11
T04182,T04222,19
T04182,T04453,28
T04182,T05095,30
T04182,T05143,25
T04182,T06252,24
T04182,T06523,29
T04182,T06584,27
T04182,T06719,32
T04182,T07941,29
T04182,T07943,29
T04182,T08069,31
T04182,T08666,31
T04222,T04453,14
T04222,T05095,16
T04222,T05143,23
T04222,T06252,15
T04222,T06523,18
T04222,T06584,19
T04222,T06719,18
T04222,T07941,19
T04222,T07943,19
T04222,T08069,18
T04222,T08666,18
T04453,T05095,24
T04453,T05143,28
T04453,T06252,23
T04453,T06523,25
T04453,T06584,31
T04453,T06719,27
T04453,T07941,26
T04453,T07943,23
T04453,T08069,28
T04453,T08666,26
T05095,T05143,23
T05095,T06252,18
T05095,T06523,33
T05095,T06584,28
T05095,T06719,37
T05095,T07941,34
T05095,T07943,32
T05095,T08069,37
T05095,T08666,37
T05143,T06252,21
T05143,T06523,24
T05143,T06584,27
T05143,T06719,26
T05143,T07941,27
T05143,T07943,24
T05143,T08069,27
T05143,T08666,26
T06252,T06523,23
T06252,T06584,27
T06252,T06719,20
T06252,T07941,27
T06252,T07943,17
T06252,T08069,20
T06252,T08666,18
T06523,T06584,29
T06523,T06719,36
T06523,T07941,45
T06523,T07943,31
T06523,T08069,35
T06523,T08666,35
T06584,T06719,31
T06584,T07941,30
T06584,T07943,26
T06584,T08069,31
T06584,T08666,30
T06719,T07941,37
T06719,T07943,34
T06719,T08069,40
T06719,T08666,40
T07941,T07943,31
T07941,T08069,36
T07941,T08666,36
T07943,T08069,34
T07943,T08666,34
T08069,T08666,40
T00122,T00398,22
T00122,T02545,19
T00122,T05201,18
T00122,T08780,13
T00398,T00964,16
T00398,T01461,24
T00398,T01842,21
T00398,T01954,14
T00398,T02133,24
T00398,T02505,22
T00398,T03496,22
T00398,T04115,15
T00398,T04182,19
T00398,T04222,23
T00398,T05095,8
T00398,T05143,25
T00398,T06523,22
T00398,T06584,22
T00398,T06719,12
T00398,T07941,20
T00398,T07943,8
T00398,T08069,11
T00398,T08666,9
T00964,T02545,10
T00964,T05201,11
T00964,T08780,9
T01461,T02545,17
T01461,T05201,15
T01461,T08780,18
T01842,T02545,21
T01842,T05201,21
T01842,T08780,11
T01954,T02545,10
T01954,T05201,13
T01954,T08780,12
T02133,T02545,21
T02133,T05201,19
T02133,T08780,15
T02505,T02545,23
T02505,T05201,23
T02505,T08780,12
T02545,T03496,21
T02545,T04115,11
T02545,T04182,15
T02545,T04222,23
T02545,T05095,7
T02545,T05143,19
T02545,T06523,16
T02545,T06584,19
T02545,T06719,10
T02545,T07941,17
T02545,T07943,7
T02545,T08069,10
T02545,T08666,8
T03496,T05201,22
T03496,T08780,10
T04115,T05201,14
T04115,T08780,12
T04182,T05201,15
T04182,T08780,11
T04222,T05201,23
T04222,T08780,11
T05095,T05201,6
T05095,T08780,6
T05143,T05201,19
T05143,T08780,16
T05201,T06523,16
T05201,T06584,19
T05201,T06719,9
T05201,T07941,16
T05201,T07943,6
T05201,T08069,9
T05201,T08666,7
T06523,T08780,11
T06584,T08780,13
T06719,T08780,8
T07941,T08780,13
T07943,T08780,7
T08069,T08780,8
T08666,T08780,7
T00398,T04453,31
T00447,T04453,22
T00701,T04453,21
T02545,T04453,23
T04453,T04481,29
T04453,T04721,29
T04453,T05201,22
T04453,T05738,29
T04453,T05843,21
T04453,T06085,27
T04453,T06554,31
T04453,T06794,23
T04453,T07267,26
T04453,T07354,22
T00447,T01954,12
T00447,T02505,22
T00447,T04115,13
T00447,T04222,22
T00701,T01954,7
T00701,T02505,19
T00701,T04115,8
T00701,T04222,19
T01954,T04481,14
T01954,T04721,15
T01954,T05738,13
T01954,T05843,8
T01954,T06085,12
T01954,T06554,16
T01954,T06794,9
T01954,T07267,9
T01954,T07354,9
T02505,T04481,22
T02505,T04721,20
T02505,T05738,20
T02505,T05843,19
T02505,T06085,19
T02505,T06554,21
T02505,T06794,21
T02505,T07267,24
T02505,T07354,20
T04115,T04481,16
T04115,T04721,17
T04115,T05738,15
T04115,T05843,8
T04115,T06085,13
T04115,T06554,18
T04115,T06794,10
T04115,T07267,11
T04115,T07354,11
T04222,T04481,23
T04222,T04721,21
T04222,T05738,20
T04222,T05843,19
T04222,T06085,20
T04222,T06554,22
T04222,T06794,21
T04222,T07267,23
T04222,T07354,19
T00447,T04182,14
T00447,T06584,16
T00447,T06719,7
T00701,T04182,11
T00701,T06584,15
T00701,T06719,9
T04182,T04481,19
T04182,T04721,18
T04182,T05738,17
T04182,T05843,13
T04182,T06085,14
T04182,T06554,20
T04182,T06794,12
T04182,T07267,14
T04182,T07354,15
T04182,T08201,21
T04453,T08201,28
T04453,T08780,17
T04481,T06584,21
T04481,T06719,11
T04721,T06584,20
T04721,T06719,10
T05738,T06584,19
T05738,T06719,9
T05843,T06584,18
T05843,T06719,8
T06085,T06584,18
T06085,T06719,10
T06554,T06584,22
T06554,T06719,12
T06584,T06794,16
T06584,T07267,20
T06584,T07354,16
T06584,T08201,23
T06719,T06794,6
T06719,T07267,13
T06719,T07354,12
T06719,T08201,19
T00122,T04481,22
T00122,T08201,23
T00964,T04481,13
T00964,T08201,19
T01461,T04481,22
T01461,T08201,26
T01842,T04481,20
T01842,T08201,9
T02133,T04481,23
T02133,T08201,23
T02505,T08201,11
T03496,T04481,21
T03496,T08201,9
T04222,T08201,9
T04481,T05095,7
T04481,T05143,23
T04481,T06523,22
T04481,T07941,20
T04481,T07943,7
T04481,T08069,10
T04481,T08666,8
T05095,T08201,16
T05143,T08201,23
T06523,T08201,22
T07941,T08201,24
T07943,T08201,15
T08069,T08201,18
T08201,T08666,17
T00447,T01461,14
T00447,T01842,20
T00447,T03496,20
T00447,T05143,18
T00701,T01461,13
T00701,T01842,17
T00701,T03496,17
T00701,T05143,15
T01461,T04721,22
T01461,T05738,22
T01461,T05843,13
T01461,T06085,22
T01461,T06554,24
T01461,T06794,12
T01461,T07267,19
T01461,T07354,19
T01842,T04721,18
T01842,T05738,19
T01842,T05843,17
T01842,T06085,18
T01842,T06554,18
T01842,T06794,19
T01842,T07267,22
T01842,T07354,18
T01954,T08201,13
T03496,T04721,19
T03496,T05738,19
T03496,T05843,17
T03496,T06085,18
T03496,T06554,20
T03496,T06794,19
T03496,T07267,21
T03496,T07354,17
T04115,T08201,14
T04721,T05143,22
T05143,T05738,21
T05143,T05843,16
T05143,T06085,18
T05143,T06554,22
T05143,T06794,17
T05143,T07267,22
T05143,T07354,18
T00447,T02133,17
T02133,T04721,22
T02133,T05738,22
T02133,T05843,18
T02133,T06085,18
T02133,T06554,23
T02133,T06794,17
T02133,T07267,21
T02133,T07354,21
T00447,T00964,9
T00447,T07941,14
T00701,T00964,7
T00701,T07941,15
T00964,T04721,13
T00964,T05738,14
T00964,T05843,7
T00964,T06085,12
T00964,T06554,14
T00964,T06794,7
T00964,T07267,11
T00964,T07354,10
T04721,T07941,19
T05738,T07941,19
T05843,T07941,15
T06085,T07941,18
T06554,T07941,21
T06794,T07941,14
T07267,T07941,18
T07354,T07941,18
T00122,T00447,16
T00122,T00701,17
T00122,T05843,17
T00122,T07267,18
T00122,T07354,18
T00447,T05095,4
T00447,T06523,14
T00447,T07943,4
T00447,T08069,7
T00447,T08666,5
T00701,T02133,17
T00701,T05095,5
T00701,T06523,13
T00701,T07943,5
T00701,T08069,8
T00701,T08666,6
T05095,T05843,5
T05095,T07267,10
T05095,T07354,10
T05843,T06523,13
T05843,T07943,5
T05843,T08069,7
T05843,T08666,6
T06523,T07267,16
T06523,T07354,16
T07267,T07943,10
T07267,T08069,13
T07267,T08666,11
T07354,T07943,9
T07354,T08069,12
T07354,T08666,10
T00122,T04721,21
T04721,T05095,6
T04721,T06523,20
T04721,T07943,6
T04721,T08069,9
T04721,T08666,7
T00122,T05738,21
T00122,T06085,20
T00122,T06554,23
T00122,T06794,16
T05095,T05738,6
T05095,T06554,8
T05738,T06523,20
T05738,T07943,6
T05738,T08069,8
T05738,T08666,6
T06523,T06554,22
T06554,T07943,8
T06554,T08069,11
T06554,T08666,9
T05095,T06794,3
T06523,T06794,12
T06794,T07943,3
T06794,T08069,6
T06794,T08666,4
T06085,T06523,21
T06085,T08069,9
T05095,T06085,6
T06085,T07943,6
T06085,T08666,7
